projeto_responsavel,natureza,valor_do_projeto,valor_do_apoio,local,situacao,organizacao,url_proj,data_da_aprovacao,data_da_contratacao,data_da_conclusao
Bem Viver Sustentável Instituto de Pesquisa e Formação Indígena (Iepé),Terceiro Setor,12404198,11858793.870000001,PA,concluido,Instituto de Pesquisa e Formação Indígena (Iepé),https://www.fundoamazonia.gov.br/pt/projeto/Bem-Viver-Sustentavel/,2015-11-19,2016-01-07,2021-12-31
Mamirauá Instituto de Desenvolvimento Sustentável Mamirauá (IDSM),Terceiro Setor,8706257,8504678.54,AM,concluido,Instituto de Desenvolvimento Sustentável Mamirauá (IDSM),https://www.fundoamazonia.gov.br/pt/projeto/Mamiraua/,2012-12-18,2013-08-07,2022-11-10
Quintais Amazônicos Centro de Estudos da Cultura e do Meio Ambiente da Amazônia (Rioterra),Terceiro Setor,8837852.29,8837852.29,RO,concluido,Centro de Estudos da Cultura e do Meio Ambiente da Amazônia (Rioterra),https://www.fundoamazonia.gov.br/pt/projeto/Quintais-Amazonicos/,2013-07-30,2013-12-04,2019-10-11
Sementes do Portal - Fase II Instituto Ouro Verde (IOV),Terceiro Setor,16553250.639999999,16086000,MT,concluido,Instituto Ouro Verde (IOV),https://www.fundoamazonia.gov.br/pt/projeto/Sementes-do-Portal-Fase-II/,2013-10-01,2013-12-05,2022-09-16
IREHI – Cuidando dos Territórios Operação Amazônia Nativa (OPAN),Terceiro Setor,8144618.7,8144618.7,MT,concluido,Operação Amazônia Nativa (OPAN),https://www.fundoamazonia.gov.br/pt/projeto/IREHI-Cuidando-dos-Territorios/,2015-12-18,2016-02-19,2022-11-21
Néctar da Amazônia Instituto Peabiru,Terceiro Setor,2072901,2030000,"AP, PA",concluido,Instituto Peabiru,https://www.fundoamazonia.gov.br/pt/projeto/Nectar-da-Amazonia/,2014-05-13,2014-08-27,2022-06-30
"Pequenos Projetos Ecossociais na Amazônia Instituto Sociedade, População e Natureza (ISPN)",Terceiro Setor,17796525,12814691.38,"MA, MT, TO",concluido,"Instituto Sociedade, População e Natureza (ISPN)",https://www.fundoamazonia.gov.br/pt/projeto/Pequenos-Projetos-Ecossociais-na-Amazonia/,2012-07-03,2012-09-25,2020-10-01
Amazônia Indígena Sustentável Associação de Defesa Etnoambiental Kanindé,Terceiro Setor,7352757.03,7352757.03,"MT, RO",concluido,Associação de Defesa Etnoambiental Kanindé,https://www.fundoamazonia.gov.br/pt/projeto/Amazonia-Indigena-Sustentavel/,2015-12-04,2016-01-21,2020-03-13
Programa de Qualificação da Gestão Ambiental Instituto Brasileiro de Administração Municipal (Ibam),Terceiro Setor,19620429.22,18853482.32,"AC, AP, AM, MA, MT, PA, RO, RR, TO",concluido,Instituto Brasileiro de Administração Municipal (Ibam),https://www.fundoamazonia.gov.br/pt/projeto/Programa-de-Qualificacao-da-Gestao-Ambiental/,2012-12-18,2013-02-05,2021-03-24
Reflorestamento no Sul do Estado do Amazonas Estado do Amazonas,Estados,17575286.19,17575286.19,AM,concluido,Estado do Amazonas,https://www.fundoamazonia.gov.br/pt/projeto/Reflorestamento-no-Sul-do-Estado-do-Amazonas/,2010-08-17,2010-12-17,2018-06-30
